Gene Symbol,Compartment
MTX2,Mitochondria
MUL1,Mitochondria
NDUFB1,Mitochondria
NDUFS5,Mitochondria
OPA1,Mitochondria
PTGES2,Mitochondria
PTRH2,Mitochondria
RAB24,Mitochondria
RMDN1,Mitochondria
RMDN3,Mitochondria
SCCPDH,Mitochondria
SLC25A46,Mitochondria
SNAP29,Mitochondria
STARD7,Mitochondria
SYNJ2BP,Mitochondria
TDRKH,Mitochondria
TIMM17B,Mitochondria
TOMM20,Mitochondria
AADAT,Mitochondria
AASS,Mitochondria
ABAT,Mitochondria
ABCA13,Mitochondria
ABCB10,Mitochondria
ABCD2,Mitochondria
ABCF2,Mitochondria
ABHD11,Mitochondria
ACACA,Mitochondria
ACACB,Mitochondria
ACAD10,Mitochondria
ACAD11,Mitochondria
ACAD8,Mitochondria
ACADS,Mitochondria
ACLY,Mitochondria
ACO1,Mitochondria
ACOT2,Mitochondria
ACOT7,Mitochondria
ACOX3,Mitochondria
ACP6,Mitochondria
ACSF2,Mitochondria
ACSS1,Mitochondria
ACSS3,Mitochondria
ACYP2,Mitochondria
ADCK1,Mitochondria
ADCK5,Mitochondria
AFG1L,Mitochondria
AGMAT,Mitochondria
AGPAT5,Mitochondria
AHCYL1,Mitochondria
AK3,Mitochondria
AKAP10,Mitochondria
AKR7A2,Mitochondria
ALAS1,Mitochondria
ALDH18A1,Mitochondria
ALDH1L2,Mitochondria
ALDH2,Mitochondria
ALDH6A1,Mitochondria
ALKBH1,Mitochondria
ALKBH7,Mitochondria
AMACR,Mitochondria
AMT,Mitochondria
ANGEL2,Mitochondria
APEX2,Mitochondria
APOOL,Mitochondria
APOPT1,Mitochondria
ARF5,Mitochondria
ARG2,Mitochondria
ARL2,Mitochondria
ATIC,Mitochondria
ATP5F1D,Mitochondria
ATP5MF,Mitochondria
ATPAF2,Mitochondria
ATXN2,Mitochondria
AUH,Mitochondria
AURKAIP1,Mitochondria
BAD,Mitochondria
BCL2,Mitochondria
BCL2L1,Mitochondria
BCS1L,Mitochondria
BDH1,Mitochondria
BID,Mitochondria
BNIP3L,Mitochondria
BOLA1,Mitochondria
BPHL,Mitochondria
C15orf40,Mitochondria
C2orf69,Mitochondria
C3orf33,Mitochondria
C6orf136,Mitochondria
C6orf203,Mitochondria
C8orf82,Mitochondria
CASP8,Mitochondria
CBR3,Mitochondria
CCDC51,Mitochondria
CCDC90B,Mitochondria
CCSMST1,Mitochondria
CCT7,Mitochondria
CDC25C,Mitochondria
CEP89,Mitochondria
CHCHD1,Mitochondria
CHCHD5,Mitochondria
CHPT1,Mitochondria
CKMT2,Mitochondria
CLYBL,Mitochondria
CMC2,Mitochondria
COA1,Mitochondria
COASY,Mitochondria
COQ10A,Mitochondria
COQ3,Mitochondria
COQ5,Mitochondria
COQ6,Mitochondria
COQ7,Mitochondria
COQ8A,Mitochondria
COQ8B,Mitochondria
COQ9,Mitochondria
COX10,Mitochondria
COX11,Mitochondria
COX14,Mitochondria
COX16,Mitochondria
COX18,Mitochondria
COX19,Mitochondria
COX20,Mitochondria
COX5B,Mitochondria
COX6A1,Mitochondria
COX8A,Mitochondria
CPT1C,Mitochondria
CPT2,Mitochondria
CROT,Mitochondria
CRY1,Mitochondria
CYB5A,Mitochondria
CYB5R2,Mitochondria
D2HGDH,Mitochondria
DBI,Mitochondria
DCAKD,Mitochondria
DGLUCY,Mitochondria
DGUOK,Mitochondria
DHRS1,Mitochondria
DHRS4,Mitochondria
DHTKD1,Mitochondria
DMAC2,Mitochondria
DMAC2L,Mitochondria
DMGDH,Mitochondria
DNA2,Mitochondria
DNAJC30,Mitochondria
DNLZ,Mitochondria
DNM1L,Mitochondria
DUS2,Mitochondria
ECHDC1,Mitochondria
ECHDC3,Mitochondria
ECI2,Mitochondria
ECSIT,Mitochondria
EEFSEC,Mitochondria
EFHD1,Mitochondria
EHHADH,Mitochondria
ENDOG,Mitochondria
EPHX2,Mitochondria
ETFDH,Mitochondria
ETFRF1,Mitochondria
FAM136A,Mitochondria
FAM210A,Mitochondria
FAM210B,Mitochondria
FASN,Mitochondria
FASTK,Mitochondria
FASTKD1,Mitochondria
FBXL4,Mitochondria
FDPS,Mitochondria
FHIT,Mitochondria
FKBP8,Mitochondria
FLAD1,Mitochondria
FMC1,Mitochondria
FOXRED1,Mitochondria
FPGS,Mitochondria
FUNDC1,Mitochondria
FXN,Mitochondria
GAPDH,Mitochondria
GATB,Mitochondria
GATC,Mitochondria
GATM,Mitochondria
GCAT,Mitochondria
GFM2,Mitochondria
GLDC,Mitochondria
GLOD4,Mitochondria
GLRX2,Mitochondria
GLRX5,Mitochondria
GLYCTK,Mitochondria
GOLPH3,Mitochondria
GPI,Mitochondria
GPX1,Mitochondria
GPX4,Mitochondria
GSTK1,Mitochondria
GSTO1,Mitochondria
GSTZ1,Mitochondria
GTPBP3,Mitochondria
GUF1,Mitochondria
GUK1,Mitochondria
HDHD3,Mitochondria
HDHD5,Mitochondria
HEBP1,Mitochondria
HIBADH,Mitochondria
HIBCH,Mitochondria
HINT1,Mitochondria
HINT3,Mitochondria
HMBS,Mitochondria
HMGCL,Mitochondria
HSDL2,Mitochondria
HTATIP2,Mitochondria
IBA57,Mitochondria
IDE,Mitochondria
IDH1,Mitochondria
IDI1,Mitochondria
IMMP2L,Mitochondria
ISCA1,Mitochondria
ISCA2,Mitochondria
ISOC2,Mitochondria
KARS,Mitochondria
KIF1B,Mitochondria
L2HGDH,Mitochondria
LACTB2,Mitochondria
LDHB,Mitochondria
LIAS,Mitochondria
LIPT1,Mitochondria
LONP2,Mitochondria
LYPLAL1,Mitochondria
LYRM1,Mitochondria
LYRM2,Mitochondria
LYRM4,Mitochondria
LYRM9,Mitochondria
MAIP1,Mitochondria
MAOA,Mitochondria
MAOB,Mitochondria
MCEE,Mitochondria
MCRIP2,Mitochondria
MCU,Mitochondria
MCUB,Mitochondria
MDH1,Mitochondria
ME1,Mitochondria
ME3,Mitochondria
MECR,Mitochondria
METAP1D,Mitochondria
METTL15,Mitochondria
METTL17,Mitochondria
METTL5,Mitochondria
METTL8,Mitochondria
MGST1,Mitochondria
MIC13,Mitochondria
MLH1,Mitochondria
MLYCD,Mitochondria
MMADHC,Mitochondria
MOCS1,Mitochondria
MP68,Mitochondria
MPC2,Mitochondria
MPST,Mitochondria
MPV17,Mitochondria
MPV17L2,Mitochondria
MRM1,Mitochondria
MRM2,Mitochondria
MRPL33,Mitochondria
MRPL34,Mitochondria
MRPL35,Mitochondria
MRPL40,Mitochondria
MRPL42,Mitochondria
MRPL51,Mitochondria
MRPL52,Mitochondria
MRPL54,Mitochondria
MRPL57,Mitochondria
MRPS18C,Mitochondria
MRPS33,Mitochondria
MRS2,Mitochondria
MSRA,Mitochondria
MSRB2,Mitochondria
MT-ATP6,Mitochondria
MT-ATP8,Mitochondria
MT-CO1,Mitochondria
MTERF1,Mitochondria
MTERF2,Mitochondria
MTERF4,Mitochondria
MTFMT,Mitochondria
MTFP1,Mitochondria
MTHFD1,Mitochondria
MTHFS,Mitochondria
MTIF2,Mitochondria
MTIF3,Mitochondria
MT-ND1,Mitochondria
MT-ND2,Mitochondria
MT-ND5,Mitochondria
MT-ND6,Mitochondria
MTRF1,Mitochondria
MTRF1L,Mitochondria
MUTYH,Mitochondria
NAXD,Mitochondria
NCOA4,Mitochondria
NDUFA13,Mitochondria
NDUFA3,Mitochondria
NDUFAB1,Mitochondria
NDUFAF1,Mitochondria
NDUFAF4,Mitochondria
NDUFAF5,Mitochondria
NDUFAF6,Mitochondria
NDUFB4,Mitochondria
NDUFB8,Mitochondria
NDUFC2,Mitochondria
NDUFS2,Mitochondria
NDUFS3,Mitochondria
NDUFV1,Mitochondria
NFU1,Mitochondria
NIPSNAP3A,Mitochondria
NIPSNAP3B,Mitochondria
NIT1,Mitochondria
NIT2,Mitochondria
NLRX1,Mitochondria
NME4,Mitochondria
NME6,Mitochondria
NNT,Mitochondria
NOA1,Mitochondria
NRDC,Mitochondria
NSUN3,Mitochondria
NT5C,Mitochondria
NT5DC3,Mitochondria
NT5M,Mitochondria
NTHL1,Mitochondria
NUBPL,Mitochondria
NUCB2,Mitochondria
NUDT19,Mitochondria
NUDT2,Mitochondria
NUDT5,Mitochondria
NUDT6,Mitochondria
NUDT8,Mitochondria
NUDT9,Mitochondria
OBSCN,Mitochondria
OCIAD2,Mitochondria
OPA3,Mitochondria
OSBPL1A,Mitochondria
OSGEPL1,Mitochondria
OTC,Mitochondria
OXNAD1,Mitochondria
OXR1,Mitochondria
OXSM,Mitochondria
PABPC5,Mitochondria
PACSIN2,Mitochondria
PAICS,Mitochondria
PAK5,Mitochondria
PAM16,Mitochondria
PANK2,Mitochondria
PARG,Mitochondria
PARK7,Mitochondria
PARL,Mitochondria
PARS2,Mitochondria
PCBD2,Mitochondria
PCCA,Mitochondria
PCCB,Mitochondria
PDK1,Mitochondria
PDK2,Mitochondria
PDK3,Mitochondria
PDP2,Mitochondria
PDSS1,Mitochondria
PDSS2,Mitochondria
PET100,Mitochondria
PET117,Mitochondria
PGS1,Mitochondria
PHYH,Mitochondria
PI4KA,Mitochondria
PICK1,Mitochondria
PINK1,Mitochondria
PLGRKT,Mitochondria
PLPBP,Mitochondria
PNPLA8,Mitochondria
PNPO,Mitochondria
POLG2,Mitochondria
PPOX,Mitochondria
PPTC7,Mitochondria
PPWD1,Mitochondria
PRDX2,Mitochondria
PRDX6,Mitochondria
PRELID1,Mitochondria
PRELID3B,Mitochondria
PRODH,Mitochondria
PRXL2A,Mitochondria
PTCD2,Mitochondria
PTPMT1,Mitochondria
PTPN4,Mitochondria
PTRH1,Mitochondria
PTS,Mitochondria
PUSL1,Mitochondria
PXMP2,Mitochondria
PXMP4,Mitochondria
PYURF,Mitochondria
QDPR,Mitochondria
QRSL1,Mitochondria
QTRT1,Mitochondria
RAB32,Mitochondria
RAB5IF,Mitochondria
RARS,Mitochondria
RBFA,Mitochondria
RDH14,Mitochondria
RECQL4,Mitochondria
REXO2,Mitochondria
RFK,Mitochondria
RMND1,Mitochondria
RNASEH1,Mitochondria
RPIA,Mitochondria
RPUSD3,Mitochondria
RPUSD4,Mitochondria
RTN4IP1,Mitochondria
SARDH,Mitochondria
SCP2,Mitochondria
SDHAF3,Mitochondria
SDHC,Mitochondria
SDHD,Mitochondria
SDR39U1,Mitochondria
SDSL,Mitochondria
SECISBP2,Mitochondria
SELENOO,Mitochondria
SERAC1,Mitochondria
SETD9,Mitochondria
SFXN2,Mitochondria
SFXN3,Mitochondria
SFXN4,Mitochondria
SFXN5,Mitochondria
SHMT1,Mitochondria
SIRT3,Mitochondria
SIRT5,Mitochondria
SLC16A7,Mitochondria
SLC25A12,Mitochondria
SLC25A14,Mitochondria
SLC25A15,Mitochondria
SLC25A16,Mitochondria
SLC25A19,Mitochondria
SLC25A20,Mitochondria
SLC25A21,Mitochondria
SLC25A25,Mitochondria
SLC25A26,Mitochondria
SLC25A29,Mitochondria
SLC25A33,Mitochondria
SLC25A36,Mitochondria
SLC25A38,Mitochondria
SLC25A40,Mitochondria
SLC25A51,Mitochondria
SLC30A6,Mitochondria
SLC30A9,Mitochondria
SLC37A4,Mitochondria
SOD1,Mitochondria
SPATA20,Mitochondria
SPG7,Mitochondria
STOML1,Mitochondria
STX17,Mitochondria
SUOX,Mitochondria
TACO1,Mitochondria
TARS,Mitochondria
TCHP,Mitochondria
THG1L,Mitochondria
TIMM13,Mitochondria
TIMM17A,Mitochondria
TIMM22,Mitochondria
TIMM29,Mitochondria
TIMM8A,Mitochondria
TIMM8B,Mitochondria
TK2,Mitochondria
TKT,Mitochondria
TMEM126B,Mitochondria
TMEM143,Mitochondria
TMEM14C,Mitochondria
TMEM177,Mitochondria
TMEM65,Mitochondria
TMLHE,Mitochondria
TOMM34,Mitochondria
TOMM40L,Mitochondria
TOMM7,Mitochondria
TPI1,Mitochondria
TRIT1,Mitochondria
TRMT11,Mitochondria
TRMT2B,Mitochondria
TRMU,Mitochondria
TTC19,Mitochondria
TUBB3,Mitochondria
TWNK,Mitochondria
TXNRD1,Mitochondria
UNG,Mitochondria
UQCC1,Mitochondria
UQCR11,Mitochondria
UQCRFS1,Mitochondria
VARS2,Mitochondria
VWA8,Mitochondria
WDR81,Mitochondria
YBEY,Mitochondria
ZADH2,Mitochondria
ARMCX3,Mitochondria
C2CD3,Mitochondria
CARD19,Mitochondria
CUL2,Mitochondria
EXD2,Mitochondria
FAM84B,Mitochondria
FBXO17,Mitochondria
FEM1B,Mitochondria
HSPB1,Mitochondria
MCL1,Mitochondria
MIEF2,Mitochondria
MTX3,Mitochondria
NAPG,Mitochondria
PRKCD,Mitochondria
RAB3A,Mitochondria
RAB3D,Mitochondria
RAB5C,Mitochondria
RANBP6,Mitochondria
RMDN2,Mitochondria
SAR1A,Mitochondria
SAR1B,Mitochondria
SARM1,Mitochondria
TBC1D15,Mitochondria
TMEM263,Mitochondria
USP30,Mitochondria
VPS13D,Mitochondria
