,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,Organism
8003,ZNF787,Q6DD87,Nucleus,1,0,0,0,human
8004,ZNF789,Q5FWF6,Nucleus,1,0,0,0,human
8005,ZNF79,Q15937,Nucleus,1,0,0,0,human
8006,ZNF790,Q6PG37,Nucleus,1,0,0,0,human
8007,ZNF791,Q3KP31,Nucleus,1,0,0,0,human
8008,ZNF792,Q3KQV3,Nucleus,1,0,0,0,human
8009,ZNF793,Q6ZN11,Nucleus,1,0,0,0,human
8010,ZNF799,Q96GE5,Nucleus,1,0,0,0,human
8011,ZNF8,P17098,Nucleus,1,0,0,0,human
8012,ZNF80,P51504,Nucleus,1,0,0,0,human
8013,ZNF800,Q2TB10,Nucleus,1,0,0,0,human
8014,ZNF805,Q5CZA5,Nucleus,1,0,0,0,human
8015,ZNF808,Q8N4W9,Nucleus,1,0,0,0,human
8016,ZNF81,P51508,Nucleus,1,0,0,0,human
8017,ZNF813,Q6ZN06,Nucleus,1,0,0,0,human
8018,ZNF816,Q0VGE8,Nucleus,1,0,0,0,human
8019,ZNF818P,Q6ZRF7,Nucleus,1,0,0,0,human
8020,ZNF821,O75541,Nucleus,1,0,0,0,human
8021,ZNF823,P16415,Nucleus,1,0,0,0,human
8022,ZNF826P,Q6ZT77,Nucleus,1,0,0,0,human
8023,ZNF827,Q17R98,Nucleus,1,0,0,0,human
8024,ZNF829,Q3KNS6,Nucleus,1,0,0,0,human
8025,ZNF83,P51522,Nucleus,1,0,0,0,human
8026,ZNF830,Q96NB3,Nucleus,1,0,0,0,human
8027,ZNF835,Q9Y2P0,Nucleus,1,0,0,0,human
8028,ZNF836,Q6ZNA1,Nucleus,1,0,0,0,human
8029,ZNF837,Q96EG3,Nucleus,1,0,0,0,human
8030,ZNF84,P51523,Nucleus,1,0,0,0,human
8031,ZNF840P,A6NDX5,Nucleus,1,0,0,0,human
8032,ZNF841,Q6ZN19,Nucleus,1,0,0,0,human
8033,ZNF844,Q08AG5,Nucleus,1,0,0,0,human
8034,ZNF845,Q96IR2,Nucleus,1,0,0,0,human
8035,ZNF846,Q147U1,Nucleus,1,0,0,0,human
8036,ZNF85,Q03923,Nucleus,1,0,0,0,human
8037,ZNF850,A8MQ14,Nucleus,1,0,0,0,human
8038,ZNF852,Q6ZMS4,Nucleus,1,0,0,0,human
8039,ZNF860,A6NHJ4,Nucleus,1,0,0,0,human
8040,ZNF862,O60290,Nucleus,1,0,0,0,human
8041,ZNF865,P0CJ78,Nucleus,1,0,0,0,human
8042,ZNF875,P10072,Nucleus,1,0,0,0,human
8043,ZNF876P,Q49A33,Nucleus,1,0,0,0,human
8044,ZNF878,C9JN71,Nucleus,1,0,0,0,human
8045,ZNF879,B4DU55,Nucleus,1,0,0,0,human
8046,ZNF883,P0CG24,Nucleus,1,0,0,0,human
8047,ZNF888,P0CJ79,Nucleus,1,0,0,0,human
8048,ZNF891,A8MT65,Nucleus,1,0,0,0,human
8049,ZNF90,Q03938,Nucleus,1,0,0,0,human
8050,ZNF91,Q05481,Nucleus,1,0,0,0,human
8051,ZNF92,Q03936,Nucleus,1,0,0,0,human
8052,ZNF93,P35789,Nucleus,1,0,0,0,human
8053,ZNF98,A6NK75,Nucleus,1,0,0,0,human
8054,ZNF99,A8MXY4,Nucleus,1,0,0,0,human
11065,ZNFX1,Q9P2E3,Large Protein Complex,0,0,0,1,human
8055,ZNHIT1,O43257,Nucleus,1,0,0,0,human
11206,ZNHIT6,Q9NWK9,Large Protein Complex,0,0,0,1,human
8056,ZNRD1,Q9P1U0,Nucleus,1,0,0,0,human
11066,ZNRF2,Q8NHG8,Large Protein Complex,0,0,0,1,human
8057,ZNRF3,Q9ULT6,Plasma membrane,1,0,0,0,human
8058,ZNRF4,Q8WWF5,ER,1,0,0,0,human
8059,ZRANB2,O95218,Nucleus,1,0,0,0,human
8060,ZRANB3,Q5FWF4,Nucleus,1,0,0,0,human
8061,ZRSR2,Q15696,Nucleus,1,0,0,0,human
8062,ZRSR2P1,Q15695,Nucleus,1,0,0,0,human
8063,ZSCAN1,Q8NBB4,Nucleus,1,0,0,0,human
8064,ZSCAN10,Q96SZ4,Nucleus,1,0,0,0,human
8065,ZSCAN12,O43309,Nucleus,1,0,0,0,human
8066,ZSCAN16,Q9H4T2,Nucleus,1,0,0,0,human
8067,ZSCAN18,Q8TBC5,Nucleus,1,0,0,0,human
8068,ZSCAN2,Q7Z7L9,Nucleus,1,0,0,0,human
8069,ZSCAN20,P17040,Nucleus,1,0,0,0,human
8070,ZSCAN21,Q9Y5A6,Nucleus,1,0,0,0,human
8071,ZSCAN22,P10073,Nucleus,1,0,0,0,human
8072,ZSCAN23,Q3MJ62,Nucleus,1,0,0,0,human
8073,ZSCAN25,Q6NSZ9,Nucleus,1,0,0,0,human
8074,ZSCAN26,Q16670,Nucleus,1,0,0,0,human
8075,ZSCAN29,Q8IWY8,Nucleus,1,0,0,0,human
8076,ZSCAN30,Q86W11,Nucleus,1,0,0,0,human
8077,ZSCAN31,Q96LW9,Nucleus,1,0,0,0,human
8078,ZSCAN32,Q9NX65,Nucleus,1,0,0,0,human
8079,ZSCAN4,Q8NAM6,Nucleus,1,0,0,0,human
8080,ZSCAN5A,Q9BUG6,Nucleus,1,0,0,0,human
