,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,Organism
8431,MARCH1,Q5VT66,Mitochondrion-OM,0,1,0,0,human
8432,MARCH2,Q969Z3,Mitochondrion-OM,0,1,0,0,human
8829,MARCH5,Q9NX47,Mitochondria,0,1,0,0,human
9331,MARCH6,O60337,ER,0,0,0,1,human
10752,SEPT2,Q15019,Large Protein Complex,0,0,0,1,human
10753,SEPT6,Q14141,Large Protein Complex,0,0,0,1,human
10754,SEPT7,Q16181,Large Protein Complex,0,0,0,1,human
11323,SEPT7,Q16181-2,Large Protein Complex,0,0,0,1,human
11009,SEPT8,Q92599,Large Protein Complex,0,0,0,1,human
10364,SEPT9,Q9UHD8,Large Protein Complex,0,0,0,1,human
10750,SEPT10,Q9P0V9,Large Protein Complex,0,0,0,1,human
10751,SEPT11,Q9NVA2,Large Protein Complex,0,0,0,1,human
1,A3GALT2,U3KPV4,Golgi,1,0,0,0,human
2,A4GALT,Q9NPC4,Golgi,1,0,0,0,human
3,A4GNT,Q9UNA3,Golgi,1,0,0,0,human
9383,AAAS,Q9NRG9,ER,0,0,0,1,human
4,AACS,Q86V21,Cytoplasm,1,0,0,0,human
5,AADAC,P22760,ER,1,0,0,0,human
6,AADAT,Q8N5Z0,Mitochondria,1,0,0,0,human
7,AAGAB,Q6PD74,Cytoplasm,1,0,0,0,human
8,AAK1,Q2M2I8,Plasma membrane,1,0,0,0,human
10815,AAMP,Q13685,Large Protein Complex,0,0,0,1,human
9,AANAT,Q16613,Cytoplasm,1,0,0,0,human
10,AARS1,P49588,Cytoplasm,1,0,0,0,human
11,AARS2,Q5JTZ9,Mitochondria,1,0,0,0,human
12,AARSD1,Q9BTE6,Cytoplasm,1,0,0,0,human
13,AASDHPPT,Q9NRN7,Cytoplasm,1,0,0,0,human
14,AASS,Q9UDR5,Mitochondria,1,0,0,0,human
15,AATF,Q9NY61,Nucleus,1,0,0,0,human
16,ABAT,P80404,Mitochondria,1,0,0,0,human
8839,ABCA13,Q86UQ4,Mitochondria,0,1,0,0,human
8138,ABCA2,Q9BZC7,Endosome,0,1,0,0,human
17,ABCA3,Q99758,Lysosome,1,0,0,0,human
18,ABCA4,P78363,ER,1,0,0,0,human
19,ABCA8,O94911,Plasma membrane,1,0,0,0,human
20,ABCB1,P08183,Plasma membrane,1,0,0,0,human
21,ABCB10,Q9NRK6,Mitochondria,1,0,0,0,human
22,ABCB5,Q2M3G0,Plasma membrane,1,0,0,0,human
8357,ABCB6,Q9NP58,Lysosome,0,1,0,0,human
23,ABCB7,O75027,Mitochondria,1,0,0,0,human
24,ABCB8,Q9NUT2,Mitochondria,1,0,0,0,human
25,ABCB9,Q9NP78,Lysosome,1,0,0,0,human
26,ABCC1,P33527,Plasma membrane,1,0,0,0,human
27,ABCC10,Q5T3U5,Plasma membrane,1,0,0,0,human
28,ABCC2,Q92887,Plasma membrane,1,0,0,0,human
9655,ABCC3,O15438,Plasma membrane,0,0,0,1,human
8562,ABCC4,O15439,Plasma membrane,0,1,0,0,human
8563,ABCC5,O15440,Plasma membrane,0,1,0,0,human
29,ABCC8,Q09428,Plasma membrane,1,0,0,0,human
8556,ABCD1,P33897,Peroxisome,0,1,0,0,human
30,ABCD2,Q9UBJ2,Peroxisome,1,0,0,0,human
31,ABCD3,P28288,Peroxisome,1,0,0,0,human
32,ABCD4,O14678,Peroxisome,1,0,0,0,human
9138,ABCE1,P61221,Endosome,0,0,1,0,human
11067,ABCF1,Q8NE71,Large Protein Complex,0,0,0,1,human
8840,ABCF2,Q9UG63,Mitochondria,0,1,0,0,human
9836,ABCF3,Q9NUQ8,Large Protein Complex,0,0,0,1,human
9583,ABCG2,Q9UNQ0,Plasma membrane,0,0,0,1,human
33,ABCG5,Q9H222,Plasma membrane,1,0,0,0,human
34,ABCG8,Q9H221,Plasma membrane,1,0,0,0,human
35,ABHD10,Q9NUJ1,Mitochondria,1,0,0,0,human
8841,ABHD11,Q8NFV4,Mitochondria,0,1,0,0,human
36,ABHD12,Q8N2K0,ER,1,0,0,0,human
9157,ABHD13,Q7L211,Endosome,0,0,1,0,human
11207,ABHD14B,Q96IU4,Large Protein Complex,0,0,0,1,human
9354,ABHD16A,O95870,ER,0,0,0,1,human
9059,ABHD17A,Q96GS6,Endosome,0,0,1,0,human
8139,ABHD17B,Q5VST6,Endosome,0,1,0,0,human
37,ABHD17C,Q6PCB6,Endosome,1,0,0,0,human
38,ABHD2,P08910,Plasma membrane,1,0,0,0,human
8243,ABHD6,Q9BV23,ER-Membrane,0,1,0,0,human
9837,ABI1,Q8IZP0,Large Protein Complex,0,0,0,1,human
9838,ABI2,Q9NYB9,Large Protein Complex,0,0,0,1,human
39,ABI3,Q9P2A4,Cytoplasm,1,0,0,0,human
40,ABITRAM,Q9NX38,Nucleus,1,0,0,0,human
10816,ABL1,P00519,Large Protein Complex,0,0,0,1,human
10519,ABL2,P42684,Large Protein Complex,0,0,0,1,human
9811,ABLIM1,O14639,Actin binding proteins,0,0,0,1,human
41,ABLIM3,O94929,Cytoplasm,1,0,0,0,human
42,ABO,P16442,Golgi,1,0,0,0,human
11068,ABR,Q12979-2,Large Protein Complex,0,0,0,1,human
43,ABRAXAS1,Q6UWZ7,Nucleus,1,0,0,0,human
44,ABT1,Q9ULW3,Nucleus,1,0,0,0,human
45,ABTB1,Q969K4,Cytoplasm,1,0,0,0,human
46,ACAA1,P09110,Peroxisome,1,0,0,0,human
47,ACAA2,P42765,Mitochondria,1,0,0,0,human
48,ACACA,Q13085,Cytoplasm,1,0,0,0,human
49,ACACB,O00763,Mitochondria,1,0,0,0,human
8842,ACAD10,Q6JQN1,Mitochondria,0,1,0,0,human
8843,ACAD11,Q709F0,Mitochondria,0,1,0,0,human
50,ACAD8,Q9UKU7,Mitochondria,1,0,0,0,human
51,ACAD9,Q9H845,Mitochondria,1,0,0,0,human
52,ACADL,P28330,Mitochondria,1,0,0,0,human
53,ACADM,P11310,Mitochondria,1,0,0,0,human
54,ACADS,P16219,Mitochondria,1,0,0,0,human
55,ACADSB,P45954,Mitochondria,1,0,0,0,human
56,ACADVL,P49748,Mitochondria,1,0,0,0,human
9535,ACADVL,P49748-3,Mitochondria,0,0,0,1,human
57,ACAP1,Q15027,Endosome,1,0,0,0,human
58,ACAP2,Q15057,Endosome,1,0,0,0,human
59,ACAT1,P24752,Mitochondria,1,0,0,0,human
60,ACAT2,Q9BWD1,Cytoplasm,1,0,0,0,human
9488,ACBD3,Q9H3P7,Golgi,0,0,0,1,human
61,ACBD5,Q5T8D3,Peroxisome,1,0,0,0,human
9302,ACBD5,Q5T8D3-3,ER,0,0,0,1,human
62,ACBD6,Q9BR61,Cytoplasm,1,0,0,0,human
63,ACD,Q96AP0,Nucleus,1,0,0,0,human
64,ACER1,Q8TDN7,ER,1,0,0,0,human
65,ACER2,Q5QJU3,Golgi,1,0,0,0,human
66,ACIN1,Q9UKV3,Nucleus,1,0,0,0,human
67,ACLY,P53396,Cytoplasm,1,0,0,0,human
68,ACO1,P21399,Cytoplasm,1,0,0,0,human
69,ACO2,Q99798,Mitochondria,1,0,0,0,human
70,ACOD1,A6NK06,Mitochondria,1,0,0,0,human
71,ACOT1,Q86TX2,Cytoplasm,1,0,0,0,human
72,ACOT11,Q8WXI4,Mitochondria,1,0,0,0,human
73,ACOT12,Q8WYK0,Cytoplasm,1,0,0,0,human
8376,ACOT13,Q9NPJ3,Mitochondrion-Mtx,0,1,0,0,human
74,ACOT2,P49753,Mitochondria,1,0,0,0,human
75,ACOT4,Q8N9L9,Peroxisome,1,0,0,0,human
76,ACOT6,Q3I5F7,Cytoplasm,1,0,0,0,human
8844,ACOT7,O00154,Mitochondria,0,1,0,0,human
11208,ACOT7,O00154-4,Large Protein Complex,0,0,0,1,human
77,ACOT7L,Q6ZUV0,Cytoplasm,1,0,0,0,human
78,ACOT8,O14734,Peroxisome,1,0,0,0,human
79,ACOT9,Q9Y305,Mitochondria,1,0,0,0,human
80,ACOX1,Q15067,Peroxisome,1,0,0,0,human
81,ACOX2,Q99424,Peroxisome,1,0,0,0,human
82,ACOX3,O15254,Peroxisome,1,0,0,0,human
83,ACP1,P24666,Cytoplasm,1,0,0,0,human
84,ACP2,P11117,Lysosome,1,0,0,0,human
85,ACP5,P13686,Lysosome,1,0,0,0,human
86,ACP6,Q9NPH0,Mitochondria,1,0,0,0,human
87,ACSF2,Q96CM8,Mitochondria,1,0,0,0,human
88,ACSF3,Q4G176,Mitochondria,1,0,0,0,human
8820,ACSL1,P33121,Mitochondria,0,1,0,0,human
8244,ACSL3,O95573,ER-Membrane,0,1,0,0,human
8332,ACSL4,O60488,Golgi,0,1,0,0,human
89,ACSM1,Q08AH1,Mitochondria,1,0,0,0,human
90,ACSM2A,Q08AH3,Mitochondria,1,0,0,0,human
91,ACSM2B,Q68CK6,Mitochondria,1,0,0,0,human
92,ACSM3,Q53FZ2,Mitochondria,1,0,0,0,human
93,ACSM4,P0C7M7,Mitochondria,1,0,0,0,human
94,ACSM5,Q6NUN0,Mitochondria,1,0,0,0,human
95,ACSM6,Q6P461,Mitochondria,1,0,0,0,human
96,ACSS1,Q9NUB1,Mitochondria,1,0,0,0,human
97,ACSS2,Q9NR19,Cytoplasm,1,0,0,0,human
98,ACSS3,Q9H6R3,Mitochondria,1,0,0,0,human
9794,ACTA1,P68133,Actin binding proteins,0,0,0,1,human
9812,ACTB,P60709,Actin binding proteins,0,0,0,1,human
8091,ACTG1,P63261,Actin binding proteins,0,1,0,0,human
99,ACTL6A,O96019,Nucleus,1,0,0,0,human
100,ACTL6B,O94805,Nucleus,1,0,0,0,human
10520,ACTL8,Q9H568,Large Protein Complex,0,0,0,1,human
8092,ACTN1,P12814,Actin binding proteins,0,1,0,0,human
8093,ACTN4,O43707,Actin binding proteins,0,1,0,0,human
9182,ACTR10,Q9NZ32,Endosome,0,0,0,1,human
10817,ACTR1A,P61163,Large Protein Complex,0,0,0,1,human
10521,ACTR1B,P42025,Large Protein Complex,0,0,0,1,human
9839,ACTR2,P61160,Large Protein Complex,0,0,0,1,human
9840,ACTR3,P61158,Large Protein Complex,0,0,0,1,human
101,ACTR8,Q9H981,Nucleus,1,0,0,0,human
102,ACVR1B,P36896,Plasma membrane,1,0,0,0,human
103,ACVR2B,Q13705,Plasma membrane,1,0,0,0,human
104,ACVRL1,P37023,Plasma membrane,1,0,0,0,human
105,ACY1,Q03154,Cytoplasm,1,0,0,0,human
11069,ACYP1,P07311,Large Protein Complex,0,0,0,1,human
8845,ACYP2,P14621,Mitochondria,0,1,0,0,human
106,ADAD1,Q96M93,Nucleus,1,0,0,0,human
8245,ADAM10,O14672,ER-Membrane,0,1,0,0,human
9656,ADAM15,Q13444,Plasma membrane,0,0,0,1,human
8564,ADAM17,P78536,Plasma membrane,0,1,0,0,human
107,ADAM22,Q9P0K1,Plasma membrane,1,0,0,0,human
8565,ADAM9,Q13443,Plasma membrane,0,1,0,0,human
8443,ADAR,P55265,Nucleus,0,1,0,0,human
108,ADARB1,P78563,Nucleus,1,0,0,0,human
109,ADARB2,Q9NS39,Nucleus,1,0,0,0,human
8846,ADCK1,Q86TW2,Mitochondria,0,1,0,0,human
8847,ADCK5,Q3MIX3,Mitochondria,0,1,0,0,human
110,ADCY5,O95622,Plasma membrane,1,0,0,0,human
111,ADCY6,O43306,Plasma membrane,1,0,0,0,human
112,ADCY9,O60503,Plasma membrane,1,0,0,0,human
113,ADCYAP1R1,P41586,Plasma membrane,1,0,0,0,human
10522,ADD1,P35611-2,Large Protein Complex,0,0,0,1,human
10523,ADD3,Q9UEY8,Large Protein Complex,0,0,0,1,human
114,ADGRA2,Q96PE1,Plasma membrane,1,0,0,0,human
115,ADGRB2,O60241,Plasma membrane,1,0,0,0,human
116,ADGRB3,O60242,Plasma membrane,1,0,0,0,human
117,ADGRD1,Q6QNK2,Plasma membrane,1,0,0,0,human
118,ADGRE1,Q14246,Plasma membrane,1,0,0,0,human
119,ADGRE2,Q9UHX3,Plasma membrane,1,0,0,0,human
120,ADGRF5,Q8IZF2,Plasma membrane,1,0,0,0,human
121,ADGRG2,Q8IZP9,Plasma membrane,1,0,0,0,human
122,ADGRG3,Q86Y34,Plasma membrane,1,0,0,0,human
123,ADGRG5,Q8IZF4,Plasma membrane,1,0,0,0,human
124,ADGRG6,Q86SQ4,Plasma membrane,1,0,0,0,human
125,ADGRL1,O94910,Plasma membrane,1,0,0,0,human
126,ADGRL3,Q9HAR2,Plasma membrane,1,0,0,0,human
127,ADGRL4,Q9HBW9,Plasma membrane,1,0,0,0,human
128,ADGRV1,Q8WXG9,Plasma membrane,1,0,0,0,human
129,ADH1A,P07327,Cytoplasm,1,0,0,0,human
130,ADH1B,P00325,Cytoplasm,1,0,0,0,human
131,ADH1C,P00326,Cytoplasm,1,0,0,0,human
132,ADH4,P08319,Cytoplasm,1,0,0,0,human
133,ADH5,P11766,Cytoplasm,1,0,0,0,human
134,ADH6,P28332,Cytoplasm,1,0,0,0,human
135,ADH7,P40394,Cytoplasm,1,0,0,0,human
136,ADHFE1,Q8IWW8,Mitochondria,1,0,0,0,human
137,ADIG,Q0VDE8,Nucleus,1,0,0,0,human
138,ADIPOR1,Q96A54,Plasma membrane,1,0,0,0,human
139,ADIPOR2,Q86V24,Plasma membrane,1,0,0,0,human
140,ADIRF,Q15847,Nucleus,1,0,0,0,human
11209,ADK,P55263,Large Protein Complex,0,0,0,1,human
141,ADNP,Q9H2P0,Nucleus,1,0,0,0,human
142,ADNP2,Q6IQ32,Nucleus,1,0,0,0,human
143,ADORA1,P30542,Plasma membrane,1,0,0,0,human
144,ADORA2A,P29274,Plasma membrane,1,0,0,0,human
145,ADORA2B,P29275,Plasma membrane,1,0,0,0,human
146,ADORA3,P0DMS8,Plasma membrane,1,0,0,0,human
8246,ADPGK,Q9BRR6,ER-Membrane,0,1,0,0,human
9564,ADPRHL2,Q9NX46,Mitochondria,0,0,0,1,human
147,ADRA1D,P25100,Plasma membrane,1,0,0,0,human
148,ADRA2A,P08913,Plasma membrane,1,0,0,0,human
149,ADRA2C,P18825,Plasma membrane,1,0,0,0,human
150,ADRB3,P13945,Plasma membrane,1,0,0,0,human
10524,ADRM1,Q16186,Large Protein Complex,0,0,0,1,human
10818,ADSL,P30566,Large Protein Complex,0,0,0,1,human
11070,ADSS,P30520,Large Protein Complex,0,0,0,1,human
151,ADSS1,Q8N142,Cytoplasm,1,0,0,0,human
152,ADTRP,Q96IZ2,Plasma membrane,1,0,0,0,human
153,AEBP2,Q6ZN18,Nucleus,1,0,0,0,human
154,AEN,Q8WTP8,Nucleus,1,0,0,0,human
9841,AFAP1,Q8N556,Large Protein Complex,0,0,0,1,human
155,AFAP1L2,Q8N4X5,Cytoplasm,1,0,0,0,human
156,AFF1,P51825,Nucleus,1,0,0,0,human
157,AFF2,P51816,Nucleus,1,0,0,0,human
158,AFF3,P51826,Nucleus,1,0,0,0,human
159,AFF4,Q9UHB7,Nucleus,1,0,0,0,human
160,AFG1L,Q8WV93,Mitochondria,1,0,0,0,human
161,AFG3L2,Q9Y4W6,Mitochondria,1,0,0,0,human
162,AFTPH,Q6ULP2,Cytoplasm,1,0,0,0,human
163,AGA,P20933,Lysosome,1,0,0,0,human
164,AGAP1,Q9UPQ3,Cytoplasm,1,0,0,0,human
9657,AGAP3,Q96P47,Plasma membrane,0,0,0,1,human
165,AGBL1,Q96MI9,Cytoplasm,1,0,0,0,human
166,AGBL3,Q8NEM8,Cytoplasm,1,0,0,0,human
8566,AGFG1,P52594,Plasma membrane,0,1,0,0,human
11071,AGFG2,O95081,Large Protein Complex,0,0,0,1,human
167,AGK,Q53H12,Mitochondria,1,0,0,0,human
11072,AGL,P35573,Large Protein Complex,0,0,0,1,human
168,AGMAT,Q9BSE5,Mitochondria,1,0,0,0,human
169,AGMO,Q6ZNB7,ER,1,0,0,0,human
9842,AGO1,Q9UL18,Large Protein Complex,0,0,0,1,human
9843,AGO2,Q9UKV8,Large Protein Complex,0,0,0,1,human
9844,AGO3,Q9H9G7,Large Protein Complex,0,0,0,1,human
170,AGPAT1,Q99943,ER,1,0,0,0,human
171,AGPAT2,O15120,ER,1,0,0,0,human
8247,AGPAT3,Q9NRZ7,ER-Membrane,0,1,0,0,human
172,AGPAT4,Q9NRZ5,ER,1,0,0,0,human
8848,AGPAT5,Q9NUQ2,Mitochondria,0,1,0,0,human
173,AGPS,O00116,Peroxisome,1,0,0,0,human
9270,AGR2,O95994,ER,0,0,0,1,human
174,AGR3,Q8TD06,ER,1,0,0,0,human
9355,AGRN,O00468-6,ER,0,0,0,1,human
175,AGTR1,P30556,Plasma membrane,1,0,0,0,human
176,AGTR2,P50052,Plasma membrane,1,0,0,0,human
8140,AGTRAP,Q6RW13,Endosome,0,1,0,0,human
177,AGXT2,Q9BYV1,Mitochondria,1,0,0,0,human
8444,AHCTF1,Q8WYP5,Nucleus,0,1,0,0,human
178,AHCY,P23526,Cytoplasm,1,0,0,0,human
8849,AHCYL1,O43865,Mitochondria,0,1,0,0,human
10819,AHI1,Q8N157,Large Protein Complex,0,0,0,1,human
179,AHNAK,Q09666,Nucleus,1,0,0,0,human
180,AHNAK2,Q8IVF2,Nucleus,1,0,0,0,human
9845,AHNAK2,Q8IVF2-3,Large Protein Complex,0,0,0,1,human
11073,AHSA1,O95433,Large Protein Complex,0,0,0,1,human
181,AHSP,Q9NZD4,Cytoplasm,1,0,0,0,human
8567,AIDA,Q96BJ3,Plasma membrane,0,1,0,0,human
9813,AIF1L,Q9BQI0,Actin binding proteins,0,0,0,1,human
8365,AIFM1,O95831,Mitochondrion-IM,0,1,0,0,human
8333,AIFM2,Q9BRQ8,Golgi,0,1,0,0,human
182,AIG1,Q9NVV5,Plasma membrane,1,0,0,0,human
10525,AIMP1,Q12904,Large Protein Complex,0,0,0,1,human
10526,AIMP2,Q13155,Large Protein Complex,0,0,0,1,human
183,AIP,O00170,Cytoplasm,1,0,0,0,human
184,AIP,Q9NWT8,Cytoplasm,1,0,0,0,human
185,AJAP1,Q9UKB5,Plasma membrane,1,0,0,0,human
186,AJM1,C9J069,Plasma membrane,1,0,0,0,human
187,AK1,P00568,Cytoplasm,1,0,0,0,human
188,AK2,P54819,Mitochondria,1,0,0,0,human
189,AK3,Q9UIJ7,Mitochondria,1,0,0,0,human
190,AK4,P27144,Mitochondria,1,0,0,0,human
191,AK5,Q9Y6K8,Cytoplasm,1,0,0,0,human
192,AK6,Q9Y3D8,Nucleus,1,0,0,0,human
193,AK8,Q96MA6,Cytoplasm,1,0,0,0,human
194,AKAP1,Q92667,Mitochondria,1,0,0,0,human
8850,AKAP10,O43572,Mitochondria,0,1,0,0,human
9158,AKAP12,Q02952,Endosome,0,0,1,0,human
10820,AKAP13,Q12802,Large Protein Complex,0,0,0,1,human
195,AKAP14,Q86UN6,Cytoplasm,1,0,0,0,human
196,AKAP17A,Q02040,Nucleus,1,0,0,0,human
9829,AKAP2,Q9Y2D5-6,Actin binding proteins,0,0,0,1,human
197,AKAP7,Q9P0M2,Plasma membrane,1,0,0,0,human
198,AKAP7,O43687,Plasma membrane,1,0,0,0,human
8445,AKAP8,O43823,Nucleus,0,1,0,0,human
11210,AKAP8L,Q9ULX6,Large Protein Complex,0,0,0,1,human
9846,AKAP9,Q99996-3,Large Protein Complex,0,0,0,1,human
199,AKIP1,Q9NQ31,Nucleus,1,0,0,0,human
200,AKIRIN1,Q9H9L7,Nucleus,1,0,0,0,human
201,AKIRIN2,Q53H80,Nucleus,1,0,0,0,human
10821,AKR1A1,P14550,Large Protein Complex,0,0,0,1,human
202,AKR1B1,P15121,Cytoplasm,1,0,0,0,human
203,AKR1C1,Q04828,Cytoplasm,1,0,0,0,human
204,AKR1C2,P52895,Cytoplasm,1,0,0,0,human
205,AKR1C3,P42330,Cytoplasm,1,0,0,0,human
206,AKR1C4,P17516,Cytoplasm,1,0,0,0,human
207,AKR1C8P,Q5T2L2,Cytoplasm,1,0,0,0,human
208,AKR1D1,P51857,Cytoplasm,1,0,0,0,human
209,AKR1E2,Q96JD6,Cytoplasm,1,0,0,0,human
8851,AKR7A2,O43488,Mitochondria,0,1,0,0,human
210,AKR7A3,O95154,Cytoplasm,1,0,0,0,human
211,AKT1S1,Q96B36,Cytoplasm,1,0,0,0,human
212,ALAS1,P13196,Mitochondria,1,0,0,0,human
213,ALAS2,P22557,Mitochondria,1,0,0,0,human
9705,ALCAM,Q13740,Plasma membrane,0,0,0,1,human
8141,ALDH16A1,Q8IZ83,Endosome,0,1,0,0,human
214,ALDH18A1,P54886,Mitochondria,1,0,0,0,human
215,ALDH1A1,P00352,Cytoplasm,1,0,0,0,human
216,ALDH1A2,O94788,Cytoplasm,1,0,0,0,human
217,ALDH1A3,P47895,Cytoplasm,1,0,0,0,human
218,ALDH1B1,P30837,Mitochondria,1,0,0,0,human
219,ALDH1L1,O75891,Cytoplasm,1,0,0,0,human
220,ALDH1L2,Q3SY69,Mitochondria,1,0,0,0,human
221,ALDH2,P05091,Mitochondria,1,0,0,0,human
222,ALDH3A1,P30838,Cytoplasm,1,0,0,0,human
223,ALDH3A2,P51648,ER,1,0,0,0,human
9584,ALDH3B1,P43353,Plasma membrane,0,0,0,1,human
224,ALDH4A1,P30038,Mitochondria,1,0,0,0,human
225,ALDH5A1,P51649,Mitochondria,1,0,0,0,human
226,ALDH6A1,Q02252,Mitochondria,1,0,0,0,human
8377,ALDH7A1,P49419,Mitochondrion-Mtx,0,1,0,0,human
9536,ALDH7A1,P49419-2,Mitochondria,0,0,0,1,human
227,ALDH8A1,Q9H2A2,Cytoplasm,1,0,0,0,human
228,ALDH9A1,P49189,Cytoplasm,1,0,0,0,human
8568,ALDOA,P04075,Plasma membrane,0,1,0,0,human
8569,ALDOC,P09972,Plasma membrane,0,1,0,0,human
229,ALG1,Q9BT22,ER,1,0,0,0,human
230,ALG10,Q5BKT4,ER,1,0,0,0,human
231,ALG10B,Q5I7T1,Plasma membrane,1,0,0,0,human
232,ALG11,Q2TAA5,ER,1,0,0,0,human
233,ALG12,Q9BV10,ER,1,0,0,0,human
9356,ALG13,Q9NP73,ER,0,0,0,1,human
8248,ALG2,Q9H553,ER-Membrane,0,1,0,0,human
234,ALG3,Q92685,ER,1,0,0,0,human
235,ALG5,Q9Y673,ER,1,0,0,0,human
236,ALG6,Q9Y672,ER,1,0,0,0,human
237,ALG8,Q9BVK2,ER,1,0,0,0,human
238,ALG9,Q9H6U8,ER,1,0,0,0,human
239,ALK,Q9UM73,Plasma membrane,1,0,0,0,human
8852,ALKBH1,Q13686,Mitochondria,0,1,0,0,human
240,ALKBH2,Q6NS38,Nucleus,1,0,0,0,human
241,ALKBH5,Q6P6C2,Nucleus,1,0,0,0,human
242,ALKBH7,Q9BT30,Mitochondria,1,0,0,0,human
243,ALOXE3,Q9BYJ1,Cytoplasm,1,0,0,0,human
244,ALPG,P10696,Plasma membrane,1,0,0,0,human
245,ALPI,P09923,Plasma membrane,1,0,0,0,human
246,ALPK1,Q96QP1,Cytoplasm,1,0,0,0,human
247,ALPK2,Q86TB3,Plasma membrane,1,0,0,0,human
248,ALPK3,Q96L96,Nucleus,1,0,0,0,human
249,ALPL,P05186,Plasma membrane,1,0,0,0,human
250,ALPP,P05187,Plasma membrane,1,0,0,0,human
251,ALS2CL,Q60I27,Cytoplasm,1,0,0,0,human
252,ALX1,Q15699,Nucleus,1,0,0,0,human
253,ALX3,O95076,Nucleus,1,0,0,0,human
254,ALX4,Q9H161,Nucleus,1,0,0,0,human
8446,ALYREF,Q86V81,Nucleus,0,1,0,0,human
8853,AMACR,Q9UHK6,Mitochondria,0,1,0,0,human
255,AMER2,Q8N7J2,Plasma membrane,1,0,0,0,human
256,AMER3,Q8N944,Plasma membrane,1,0,0,0,human
257,AMFR,Q9UKV5,ER,1,0,0,0,human
258,AMIGO1,Q86WK6,Plasma membrane,1,0,0,0,human
259,AMMECR1,Q9Y4X0,Nucleus,1,0,0,0,human
260,AMOTL2,Q9Y2J4,Endosome,1,0,0,0,human
10822,AMPD2,Q01433,Large Protein Complex,0,0,0,1,human
261,AMT,P48728,Mitochondria,1,0,0,0,human
10823,ANAPC1,Q9H1A4,Large Protein Complex,0,0,0,1,human
262,ANAPC13,Q9BS18,Nucleus,1,0,0,0,human
11074,ANAPC5,Q9UJX4,Large Protein Complex,0,0,0,1,human
10824,ANAPC7,Q9UJX3,Large Protein Complex,0,0,0,1,human
8854,ANGEL2,Q5VTE6,Mitochondria,0,1,0,0,human
263,ANHX,E9PGG2,Nucleus,1,0,0,0,human
264,ANKFY1,Q9P2R3,Endosome,1,0,0,0,human
9161,ANKH,Q9HCJ1,Endosome,0,0,1,0,human
265,ANKHD1,Q8IWZ3,Cytoplasm,1,0,0,0,human
9847,ANKHD1,Q8IWZ3-6,Large Protein Complex,0,0,0,1,human
266,ANKLE2,Q86XL3,ER,1,0,0,0,human
9505,ANKMY2,Q8IV38,Golgi,0,0,0,1,human
267,ANKRD1,Q15327,Nucleus,1,0,0,0,human
268,ANKRD11,Q6UB99,Nucleus,1,0,0,0,human
269,ANKRD12,Q6UB98,Nucleus,1,0,0,0,human
9506,ANKRD13C,Q8N6S4,Golgi,0,0,0,1,human
9848,ANKRD17,O75179,Large Protein Complex,0,0,0,1,human
270,ANKRD23,Q86SG2,Nucleus,1,0,0,0,human
271,ANKRD27,Q96NW4,Endosome,1,0,0,0,human
272,ANKRD28,O15084,Nucleus,1,0,0,0,human
273,ANKRD31,Q8N7Z5,Nucleus,1,0,0,0,human
274,ANKRD49,Q8WVL7,Nucleus,1,0,0,0,human
275,ANKRD50,Q9ULJ7,Endosome,1,0,0,0,human
11211,ANKRD52,Q8NB46,Large Protein Complex,0,0,0,1,human
9849,ANKZF1,Q9H8Y5,Large Protein Complex,0,0,0,1,human
9850,ANLN,Q9NQW6,Large Protein Complex,0,0,0,1,human
276,ANO10,Q9NW15,Plasma membrane,1,0,0,0,human
277,ANO2,Q9NQ90,Plasma membrane,1,0,0,0,human
278,ANO3,Q9BYT9,Plasma membrane,1,0,0,0,human
279,ANO4,Q32M45,Plasma membrane,1,0,0,0,human
280,ANO6,Q4KMQ2,Plasma membrane,1,0,0,0,human
281,ANO8,Q9HCE9,Plasma membrane,1,0,0,0,human
282,ANO9,A1A5B4,Plasma membrane,1,0,0,0,human
9040,ANOS1,P23352,Endosome,0,0,1,0,human
10825,ANP32A,P39687,Large Protein Complex,0,0,0,1,human
10826,ANP32B,Q92688,Large Protein Complex,0,0,0,1,human
283,ANPEP,P15144,Plasma membrane,1,0,0,0,human
284,ANTKMT,Q9BQD7,Mitochondria,1,0,0,0,human
285,ANTXR1,Q9H6X2,Plasma membrane,1,0,0,0,human
9141,ANXA1,P04083,Endosome,0,0,1,0,human
10827,ANXA11,P50995,Large Protein Complex,0,0,0,1,human
8570,ANXA2,P07355,Plasma membrane,0,1,0,0,human
11212,ANXA3,P12429,Large Protein Complex,0,0,0,1,human
11075,ANXA4,P09525,Large Protein Complex,0,0,0,1,human
11213,ANXA5,P08758,Large Protein Complex,0,0,0,1,human
9706,ANXA6,P08133,Plasma membrane,0,0,0,1,human
10828,ANXA7,P20073,Large Protein Complex,0,0,0,1,human
286,AOC3,Q16853,Plasma membrane,1,0,0,0,human
287,AOX1,Q06278,Cytoplasm,1,0,0,0,human
8142,AP1AR,Q63HQ0,Endosome,0,1,0,0,human
10527,AP1B1,Q10567-3,Large Protein Complex,0,0,0,1,human
10528,AP1G1,O43747,Large Protein Complex,0,0,0,1,human
9140,AP1M1,Q9BXS5,Endosome,0,0,1,0,human
9160,AP1S1,P61966,Endosome,0,0,1,0,human
9163,AP1S3,Q96PC3,Endosome,0,0,1,0,human
