Gene Symbol,UserAnnotation
LOXL2,ER-Membrane
LPCAT1,ER-Membrane
LPCAT2,ER-Membrane
LPCAT3,ER-Membrane
LPGAT1,ER-Membrane
LRPAP1,ER-Membrane
LRRC59,ER-Membrane
LSG1,ER-Membrane
LSS,ER-Membrane
MAGT1,ER-Membrane
MBOAT7,ER-Membrane
METTL7A,ER-Membrane
MGST2,ER-Membrane
MIA3,ER-Membrane
MLEC,ER-Membrane
MOGS,ER-Membrane
MOSPD2,ER-Membrane
MSMO1,ER-Membrane
MXRA7,ER-Membrane
NBAS,ER-Membrane
NCLN,ER-Membrane
NSDHL,ER-Membrane
ODR4,ER-Membrane
OS9,ER-Membrane
OSBPL8,ER-Membrane
OSTC,ER-Membrane
PCYOX1,ER-Membrane
PGRMC1,ER-Membrane
PGRMC2,ER-Membrane
PIGK,ER-Membrane
PIGO,ER-Membrane
PIGS,ER-Membrane
PIGT,ER-Membrane
PIGU,ER-Membrane
PKMYT1,ER-Membrane
PNPLA6,ER-Membrane
PON2,ER-Membrane
POR,ER-Membrane
PREB,ER-Membrane
PTDSS1,ER-Membrane
PTDSS2,ER-Membrane
PTPN1,ER-Membrane
RCE1,ER-Membrane
RETSAT,ER-Membrane
RFT1,ER-Membrane
RINT1,ER-Membrane
RPN1,ER-Membrane
RPN2,ER-Membrane
RRBP1,ER-Membrane
SACM1L,ER-Membrane
SCARB1,ER-Membrane
SCD,ER-Membrane
SCFD2,ER-Membrane
SEC11A,ER-Membrane
SEC61A1,ER-Membrane
SEC61B,ER-Membrane
SEC61G,ER-Membrane
SEC63,ER-Membrane
SEL1L,ER-Membrane
SERPINI1,ER-Membrane
SGPL1,ER-Membrane
SIGMAR1,ER-Membrane
SLC22A18,ER-Membrane
SLC27A2,ER-Membrane
SLC27A4,ER-Membrane
SLC33A1,ER-Membrane
SLMAP,ER-Membrane
SOAT1,ER-Membrane
SPCS1,ER-Membrane
SPCS2,ER-Membrane
SPCS3,ER-Membrane
SPTLC1,ER-Membrane
SQLE,ER-Membrane
SRP54,ER-Membrane
SRP68,ER-Membrane
SRP72,ER-Membrane
SRPRA,ER-Membrane
SRPRB,ER-Membrane
SSR3,ER-Membrane
SSR4,ER-Membrane
ST7,ER-Membrane
STIM1,ER-Membrane
STT3A,ER-Membrane
STT3B,ER-Membrane
STX18,ER-Membrane
SYVN1,ER-Membrane
TAP2,ER-Membrane
TECR,ER-Membrane
TGFB1,ER-Membrane
TGFBR1,ER-Membrane
THEM6,ER-Membrane
TMBIM6,ER-Membrane
TMCO1,ER-Membrane
TMEM109,ER-Membrane
TMEM131,ER-Membrane
TMEM164,ER-Membrane
TMEM199,ER-Membrane
TMEM214,ER-Membrane
TMEM245,ER-Membrane
TMEM259,ER-Membrane
TMEM33,ER-Membrane
TMEM43,ER-Membrane
TMEM97,ER-Membrane
TMX2,ER-Membrane
TMX3,ER-Membrane
TOR1A,ER-Membrane
TOR1AIP2,ER-Membrane
TOR2A,ER-Membrane
TRAM1,ER-Membrane
TXNDC15,ER-Membrane
TYW1,ER-Membrane
UBAC2,ER-Membrane
UBE2G2,ER-Membrane
UBE2J1,ER-Membrane
UBXN4,ER-Membrane
UFSP2,ER-Membrane
UGT8,ER-Membrane
USE1,ER-Membrane
VAPA,ER-Membrane
VAPB,ER-Membrane
VKORC1L1,ER-Membrane
VMP1,ER-Membrane
VRK2,ER-Membrane
WFS1,ER-Membrane
XXYLT1,ER-Membrane
ACSL4,Golgi
AIFM2,Golgi
DUT,Golgi
GARS,Golgi
NIF3L1,Golgi
PREPL,Golgi
TRMT1,Golgi
MBLAC2,Golgi
ARF1,Golgi
ARFRP1,Golgi
ARL1,Golgi
ATP2C1,Golgi
B3GAT3,Golgi
B4GALT1,Golgi
B4GALT4,Golgi
BSDC1,Golgi
CANT1,Golgi
CASC4,Golgi
COG2,Golgi
COG4,Golgi
COG5,Golgi
EXTL2,Golgi
FAM20B,Golgi
GALNT1,Golgi
GALNT2,Golgi
GALNT7,Golgi
GCC2,Golgi
GLG1,Golgi
GLT8D1,Golgi
GOLGA2,Golgi
GOLGA3,Golgi
GOLGA4,Golgi
GOLGA5,Golgi
GOLGB1,Golgi
GOLIM4,Golgi
GOLM1,Golgi
GORASP2,Golgi
GOSR1,Golgi
HS2ST1,Golgi
IMPAD1,Golgi
KIAA2013,Golgi
MAN1B1,Golgi
MAN2A1,Golgi
MGAT1,Golgi
MGAT2,Golgi
PRKACA,Golgi
PRKACB,Golgi
QSOX2,Golgi
SDF4,Golgi
SGMS1,Golgi
SLC30A5,Golgi
SLC35B2,Golgi
SLC35E1,Golgi
TM9SF1,Golgi
TM9SF2,Golgi
TM9SF3,Golgi
TM9SF4,Golgi
TMEM165,Golgi
TRIP11,Golgi
UBIAD1,Golgi
UXS1,Golgi
ABCB6,Lysosome
TCIRG1,Lysosome
ACP2,Lysosome
AGA,Lysosome
ARSB,Lysosome
ASAH1,Lysosome
CD63,Lysosome
CLCN7,Lysosome
CREG1,Lysosome
CTSA,Lysosome
