Gene Symbol,UserAnnotation,uservalue
FBLN1,ER-Membrane,5
FDFT1,ER-Membrane,5
G6PC3,ER-Membrane,5
GGCX,ER-Membrane,5
GHDC,ER-Membrane,5
GPAA1,ER-Membrane,5
GPAT4,ER-Membrane,5
GPX8,ER-Membrane,5
GRAMD2B,ER-Membrane,5
HACD2,ER-Membrane,5
HACD3,ER-Membrane,5
HM13,ER-Membrane,5
HMOX1,ER-Membrane,5
HMOX2,ER-Membrane,5
HSD17B11,ER-Membrane,5
HSD17B12,ER-Membrane,5
HSPA13,ER-Membrane,5
ILVBL,ER-Membrane,5
ITGB1,ER-Membrane,5
ITPR1,ER-Membrane,5
ITPR2,ER-Membrane,5
ITPR3,ER-Membrane,5
JAGN1,ER-Membrane,5
KDSR,ER-Membrane,5
LAMB1,ER-Membrane,5
LBR,ER-Membrane,5
LCLAT1,ER-Membrane,5
LEMD2,ER-Membrane,5
LMF2,ER-Membrane,5
LOXL2,ER-Membrane,5
LPCAT1,ER-Membrane,5
LPCAT2,ER-Membrane,5
LPCAT3,ER-Membrane,5
LPGAT1,ER-Membrane,5
LRPAP1,ER-Membrane,5
LRRC59,ER-Membrane,5
LSG1,ER-Membrane,5
LSS,ER-Membrane,5
MAGT1,ER-Membrane,5
MBOAT7,ER-Membrane,5
METTL7A,ER-Membrane,5
MGST2,ER-Membrane,5
MIA3,ER-Membrane,5
MLEC,ER-Membrane,5
MOGS,ER-Membrane,5
MOSPD2,ER-Membrane,5
MSMO1,ER-Membrane,5
MXRA7,ER-Membrane,5
NBAS,ER-Membrane,5
NCLN,ER-Membrane,5
NSDHL,ER-Membrane,5
ODR4,ER-Membrane,5
OS9,ER-Membrane,5
OSBPL8,ER-Membrane,5
OSTC,ER-Membrane,5
PCYOX1,ER-Membrane,5
PGRMC1,ER-Membrane,5
PGRMC2,ER-Membrane,5
PIGK,ER-Membrane,5
PIGO,ER-Membrane,5
PIGS,ER-Membrane,5
PIGT,ER-Membrane,5
PIGU,ER-Membrane,5
PKMYT1,ER-Membrane,5
PNPLA6,ER-Membrane,5
PON2,ER-Membrane,5
POR,ER-Membrane,5
PREB,ER-Membrane,5
PTDSS1,ER-Membrane,5
PTDSS2,ER-Membrane,5
PTPN1,ER-Membrane,5
RCE1,ER-Membrane,5
RETSAT,ER-Membrane,5
RFT1,ER-Membrane,5
RINT1,ER-Membrane,5
RPN1,ER-Membrane,5
RPN2,ER-Membrane,5
RRBP1,ER-Membrane,5
SACM1L,ER-Membrane,5
SCARB1,ER-Membrane,5
SCD,ER-Membrane,5
SCFD2,ER-Membrane,5
SEC11A,ER-Membrane,5
SEC61A1,ER-Membrane,5
SEC61B,ER-Membrane,5
SEC61G,ER-Membrane,5
SEC63,ER-Membrane,5
SEL1L,ER-Membrane,5
SERPINI1,ER-Membrane,5
SGPL1,ER-Membrane,5
SIGMAR1,ER-Membrane,5
SLC22A18,ER-Membrane,5
SLC27A2,ER-Membrane,5
SLC27A4,ER-Membrane,5
SLC33A1,ER-Membrane,5
SLMAP,ER-Membrane,5
SOAT1,ER-Membrane,5
SPCS1,ER-Membrane,5
SPCS2,ER-Membrane,5
SPCS3,ER-Membrane,5
SPTLC1,ER-Membrane,5
SQLE,ER-Membrane,5
SRP54,ER-Membrane,5
SRP68,ER-Membrane,5
SRP72,ER-Membrane,5
SRPRA,ER-Membrane,5
SRPRB,ER-Membrane,5
SSR3,ER-Membrane,5
SSR4,ER-Membrane,5
ST7,ER-Membrane,5
STIM1,ER-Membrane,5
STT3A,ER-Membrane,5
STT3B,ER-Membrane,5
STX18,ER-Membrane,5
SYVN1,ER-Membrane,5
TAP2,ER-Membrane,5
TECR,ER-Membrane,5
TGFB1,ER-Membrane,5
TGFBR1,ER-Membrane,5
THEM6,ER-Membrane,5
TMBIM6,ER-Membrane,5
TMCO1,ER-Membrane,5
TMEM109,ER-Membrane,5
TMEM131,ER-Membrane,5
TMEM164,ER-Membrane,5
TMEM199,ER-Membrane,5
TMEM214,ER-Membrane,5
TMEM245,ER-Membrane,5
TMEM259,ER-Membrane,5
TMEM33,ER-Membrane,5
TMEM43,ER-Membrane,5
TMEM97,ER-Membrane,5
TMX2,ER-Membrane,5
TMX3,ER-Membrane,5
TOR1A,ER-Membrane,5
TOR1AIP2,ER-Membrane,5
TOR2A,ER-Membrane,5
TRAM1,ER-Membrane,5
TXNDC15,ER-Membrane,5
TYW1,ER-Membrane,5
UBAC2,ER-Membrane,5
UBE2G2,ER-Membrane,5
UBE2J1,ER-Membrane,5
UBXN4,ER-Membrane,5
UFSP2,ER-Membrane,5
UGT8,ER-Membrane,5
USE1,ER-Membrane,5
VAPA,ER-Membrane,5
VAPB,ER-Membrane,5
VKORC1L1,ER-Membrane,5
VMP1,ER-Membrane,5
VRK2,ER-Membrane,5
WFS1,ER-Membrane,5
XXYLT1,ER-Membrane,5
ACSL4,Golgi,6
AIFM2,Golgi,6
DUT,Golgi,6
GARS,Golgi,6
NIF3L1,Golgi,6
PREPL,Golgi,6
TRMT1,Golgi,6
MBLAC2,Golgi,6
ARF1,Golgi,6
ARFRP1,Golgi,6
ARL1,Golgi,6
ATP2C1,Golgi,6
B3GAT3,Golgi,6
B4GALT1,Golgi,6
B4GALT4,Golgi,6
BSDC1,Golgi,6
CANT1,Golgi,6
CASC4,Golgi,6
COG2,Golgi,6
COG4,Golgi,6
COG5,Golgi,6
EXTL2,Golgi,6
FAM20B,Golgi,6
GALNT1,Golgi,6
GALNT2,Golgi,6
GALNT7,Golgi,6
GCC2,Golgi,6
GLG1,Golgi,6
GLT8D1,Golgi,6
GOLGA2,Golgi,6
GOLGA3,Golgi,6
GOLGA4,Golgi,6
GOLGA5,Golgi,6
GOLGB1,Golgi,6
GOLIM4,Golgi,6
GOLM1,Golgi,6
GORASP2,Golgi,6
GOSR1,Golgi,6
HS2ST1,Golgi,6
IMPAD1,Golgi,6
KIAA2013,Golgi,6
MAN1B1,Golgi,6
MAN2A1,Golgi,6
MGAT1,Golgi,6
MGAT2,Golgi,6
PRKACA,Golgi,6
PRKACB,Golgi,6
QSOX2,Golgi,6
SDF4,Golgi,6
SGMS1,Golgi,6
SLC30A5,Golgi,6
SLC35B2,Golgi,6
SLC35E1,Golgi,6
TM9SF1,Golgi,6
TM9SF2,Golgi,6
TM9SF3,Golgi,6
TM9SF4,Golgi,6
TMEM165,Golgi,6
TRIP11,Golgi,6
UBIAD1,Golgi,6
UXS1,Golgi,6
ABCB6,Lysosome,7
TCIRG1,Lysosome,7
ACP2,Lysosome,7
AGA,Lysosome,7
ARSB,Lysosome,7
ASAH1,Lysosome,7
CD63,Lysosome,7
CLCN7,Lysosome,7
CREG1,Lysosome,7
CTSA,Lysosome,7
CTSB,Lysosome,7
CTSC,Lysosome,7
CTSL,Lysosome,7
CTSZ,Lysosome,7
DNASE2,Lysosome,7
DPP7,Lysosome,7
GAA,Lysosome,7
GBA,Lysosome,7
GGH,Lysosome,7
GLA,Lysosome,7
GLB1,Lysosome,7
GNS,Lysosome,7
HEXA,Lysosome,7
HEXB,Lysosome,7
IFITM3,Lysosome,7
LAMP1,Lysosome,7
LAMP2,Lysosome,7
LAMTOR1,Lysosome,7
LAMTOR2,Lysosome,7
LAMTOR3,Lysosome,7
LAMTOR5,Lysosome,7
LIPA,Lysosome,7
MAN2B1,Lysosome,7
NAGA,Lysosome,7
NAGLU,Lysosome,7
NEU1,Lysosome,7
NPC1,Lysosome,7
NPC2,Lysosome,7
OSTM1,Lysosome,7
PLBD2,Lysosome,7
PLD3,Lysosome,7
PPT1,Lysosome,7
PRCP,Lysosome,7
PSAP,Lysosome,7
RNASET2,Lysosome,7
RNF13,Lysosome,7
RNF167,Lysosome,7
SCARB2,Lysosome,7
SCPEP1,Lysosome,7
SIAE,Lysosome,7
SLC17A5,Lysosome,7
SLC38A7,Lysosome,7
SLC38A9,Lysosome,7
SPNS1,Lysosome,7
TM7SF3,Lysosome,7
TMEM192,Lysosome,7
TPP1,Lysosome,7
